State,Regular,Mid-Grade,Premium,Diesel
Alaska,5.61,5.77,5.96,6.01
Alabama,4.56,4.92,5.28,5.63
Arkansas,4.50,4.82,5.15,5.40
Arizona,5.36,5.68,5.94,5.93
California,6.37,6.58,6.72,7.00
Colorado,4.91,5.25,5.55,5.53
Connecticut,4.92,5.34,5.69,6.15
District of Columbia,5.13,5.62,5.94,6.07
Delaware,4.94,5.36,5.61,5.91
Florida,4.77,5.16,5.48,5.70
Georgia,4.45,4.83,5.19,5.53
Hawaii,5.56,5.76,6.01,6.12
Iowa,4.70,4.88,5.36,5.44
Idaho,5.20,5.40,5.61,5.87
Illinois,5.49,5.94,6.31,5.81
Indiana,5.10,5.48,5.82,6.04
Kansas,4.64,4.91,5.21,5.37
Kentucky,4.70,5.07,5.41,5.84
Louisiana,4.50,4.85,5.18,5.37
Massachusetts,4.99,5.41,5.69,6.17
Maryland,4.93,5.42,5.69,5.92
Maine,5.06,5.41,5.72,6.17
Michigan,5.13,5.49,5.85,5.96
Minnesota,4.74,4.98,5.36,5.55
Missouri,4.65,4.96,5.27,5.37
Mississippi,4.47,4.79,5.14,5.37
Montana,4.97,5.26,5.53,5.88
North Carolina,4.59,4.96,5.32,5.71
North Dakota ,4.76,5.05,5.41,5.61
Nebraska,4.75,4.89,5.35,5.35
New Hampshire,4.93,5.34,5.67,6.16
New Jersey,4.97,5.46,5.69,6.03
New Mexico,4.77,5.10,5.38,5.60
Nevada,5.63,5.85,6.06,6.01
New York,4.99,5.39,5.70,6.27
Ohio,4.95,5.32,5.66,6.11
Oklahoma,4.62,4.95,5.17,5.30
Oregon,5.53,5.73,5.93,6.34
Pennsylvania,5.01,5.38,5.66,6.19
Rhode Island,4.95,5.44,5.73,6.24
South Carolina,4.51,4.87,5.21,5.59
South Dakota,4.77,4.90,5.35,5.39
Tennessee,4.58,4.94,5.30,5.63
Texas,4.62,4.98,5.30,5.32
Utah,5.19,5.39,5.59,5.70
Virginia,4.79,5.22,5.55,5.80
Vermont,5.00,5.38,5.75,6.11
Washington,5.53,5.74,5.93,6.37
Wisconsin,4.82,5.23,5.62,5.52
West Virginia,4.90,5.21,5.47,5.99
Wyoming,4.85,5.07,5.35,5.69
